date,MVRV,txs_count,daily_active_adds,mean_hash_rate,gwei,30_volat,google_trends,net_outflow,closing_price
2019-09-27,0.0452,-0.0518,0.0117,-0.0185,0.0187,-0.0287,0.0000,1.3649,0.0466
2019-09-28,0.0003,-0.0253,-0.0729,0.0130,-0.1081,-0.0064,0.0000,-0.8932,-0.0016
2019-09-29,-0.0207,-0.0261,-0.0682,-0.0130,0.0415,0.0051,0.0000,-2.0763,-0.0227
2019-09-30,0.0565,0.1553,0.2325,-0.0012,-0.0771,0.0227,0.0000,0.1108,0.0568
2019-10-01,-0.0140,-0.0568,0.1900,0.0016,-0.3183,0.0022,0.0000,-4.2196,-0.0160
2019-10-02,0.0224,-0.0278,-0.0356,-0.0288,-0.0006,-0.0107,0.0000,-2.2560,0.0232
2019-10-03,-0.0276,-0.0191,-0.1188,-0.0062,0.1104,0.0076,0.0000,-1.0357,-0.0291
2019-10-04,0.0062,-0.0406,-0.0693,0.0114,0.0124,-0.0054,0.0000,4.2241,0.0042
2019-10-05,0.0003,0.0083,0.0151,0.0008,-0.0790,0.0000,0.0000,-1.9437,-0.0001
2019-10-06,-0.0339,-0.0392,0.2575,0.0039,-0.0944,0.0034,0.0000,-0.5574,-0.0359
2019-10-07,0.0640,0.1008,-0.1713,-0.0109,0.0584,0.0115,0.0000,10.1341,0.0656
2019-10-08,-0.0022,0.1287,0.0774,-0.0063,0.0081,-0.0028,0.0000,-0.9573,-0.0018
2019-10-09,0.0704,0.0577,0.0386,-0.0065,0.1457,0.0432,0.0000,35.0119,0.0751
2019-10-10,-0.0141,-0.0602,0.0253,0.0180,-0.0653,0.0009,0.0000,-0.8291,-0.0137
2019-10-11,-0.0514,-0.0049,-0.0321,0.0248,-0.0298,0.0263,0.0000,-2.9074,-0.0557
2019-10-12,-0.0027,-0.0971,-0.1140,-0.0308,-0.0543,-0.0017,0.0000,-1.1447,-0.0032
2019-10-13,0.0063,-0.1066,-0.1032,0.0293,0.0466,0.0002,-0.3333,-0.1964,0.0064
2019-10-14,0.0272,0.1478,0.1971,-0.0182,0.0003,-0.0055,-0.3333,-5.7106,0.0278
2019-10-15,-0.0319,0.0616,0.0064,0.0507,-0.0072,0.0081,-0.3333,0.1342,-0.0334
2019-10-16,-0.0277,0.0056,-0.0354,-0.0241,-0.0437,-0.0093,-0.3333,-0.4096,-0.0293
2019-10-17,0.0115,0.0131,-0.0193,-0.0082,-0.0234,-0.0289,-0.3333,3.5227,0.0119
2019-10-18,-0.0165,0.0425,0.0859,-0.0274,0.0131,0.0008,-0.3333,-4.3630,-0.0222
2019-10-19,-0.0083,-0.0933,-0.1078,0.0361,-0.0080,-0.0274,-0.3333,-0.9730,-0.0088
